Region,Region Type,Year,Residential Property Tax,Commercial Property Tax,Seasonal Property Tax,"Forest Property Tax (50,000 acres or more)",Total Commercial Property Revenue,Resource Taxable assessments,"Forest property tax (less than 50,000 acres)",Total Resource Revenue,Recreation property tax,Wind farm payment from Province of NS,Farm property acreage payment from Province of NS,Conservation payment from Province of NS,Total Other Assessable Property Tax Revenue,Bell Aliant - based on revenues,Wind farm taxes from developers,Other special tax agreements or legislation,Total Special Tax Agreement Revenue,Subtotal Assessable Property,"Area rates, uniform charges, and special assessments",Sewer rates/charges,Taxes and rates collected for other Governments/ Agencies,Less: Transmission of taxes and rates collected for other Govs/Agencies,"Total Other Rates, Charges and Assessments",Deed transfer tax,Other Taxes,Total Other Tax Revenue,Appropriations to regional school board,Transfer to correctional services,Deficit of Regional Housing Authority,Total Expenditures as a Reduction of Tax Revenue,NET PROPERTY TAXES AND PAYMENTS IN LIEU OF TAXES,Federal government and federal government agencies Grant in Lieu,PILT payment,Fire protection,Other Grant in Lieu,Total Provincial Government and Agencies Grants in Lieu of Taxes,TOTAL GRANTS IN LIEU OF TAXES,Service Provided to Federal government,Service Provided to Provincial government,Service Provided to Other local governments,TOTAL SERVICES PROVIDED TO OTHER GOVERNMENTS,General government services,Protective services,Transportation services - Transit,Transportation services - Other,Environmental health services,Public health services,Environmental development services,Recreation and cultural services,Wind power,Other services,TOTAL SALES OF SERVICES,Licenses and permits,Fines,Rentals,Concessions and franchises,Return on investments,Penalties and interest on taxes,Miscellaneous,TOTAL OTHER REVENUE FROM OWN SOURCES,Municipal Grants Act - Equalization and Town Foundation,NSPI - Grant in lieu of taxes,NSPI - HST offset,Federal government and federal government agencies Unconditional Transfers,Provincial government and provincial government agencies,Other Unconditional Transfers,TOTAL UNCONDITIONAL TRANSFERS FROM OTHER GOVERNMENTS,Gas tax revenues,Federal government and federal government agencies Conditional Transfers,Provincial government and provincial agencies,Other local governments Conditional Transfers,TOTAL CONDITIONAL TRANSFERS FROM OTHER GOVERNMENTS,Net Income from Government Business Enterprises,Water Fund Revenues,Electric Fund Revenues,TOTAL REVENUE,Mayor/Warden Remuneration,Mayor/Warden Wxpenses,Council Remuneration,Council Expenses,Other legislative services,Total Legislative Expenses,General administrative and financial management services,Tax rebates or cancellations (MGA),Transfer for assessment services,Other taxation,Total General Administrative Expenses,Valuation Allowances,General Gov Interest on long-term debt,General Gov Short-term interest and other debt charges,"General gov amortization, gain / loss, writedowns on capital assets",Other general government services,TOTAL GENERAL GOVERNMENT SERVICES,Police protection,Water supply and hydrants,Other fire protection,Total Fire Protection,Protective Services Interest on long-term debt,Protective Services Short-term interest and other debt charges,"Protective Services Amortization, gain / loss, writedowns on capital assets",Other protective services,TOTAL PROTECTIVE SERVICES,Common services,Road transport,Air transport,Water transport,Public transit,Transportation Interest on long-term debt,Transportation Short-term interest and other debt charges,"Transportation Amortization, gain / loss, writedowns on capital assets",Other transportation services,TOTAL TRANSPORTATION SERVICES,Sewage collection and disposal,Garbage and waste collection and disposal,Transfer to the capital reserve for landfill closure/ post-closure costs,Other current expenditures for landfill costs,Total Municipal Landfill Expenses,Environmental Health Interest on long-term debt,Environmental Health Short-term interest and other debt charges,"Environmental Health Amortization, gain / loss, writedowns on capital assets",Other environmental health services,TOTAL ENVIRONMENTAL HEALTH SERVICES,Public Health,Public Health Interest on long-term debt,Public health Short-term interest and other debt charges,"Public Health Amortization, gain / loss, writedowns on capital assets",Other public health services,TOTAL PUBLIC HEALTH SERVICES,Environmental planning and zoning,Community development,Environmental Development Interest on long-term debt,Environmental Development Short-term interest and other debt charges,"Environmental Development Amortization, gain / loss, writedowns on capital assets",Other environmental development services,TOTAL ENVIRONMENTAL DEVELOPMENT SERVICES,Recreation facilities,Cultural buildings and facilities,Transfers to regional library,Other Transfers to Library ,Recreation Interest on long-term debt,Short-term interest and other debt charges,"Recreation Amortization, gain / loss, writedowns on capital assets",Other recreation and cultural services,TOTAL RECREATION AND CULTURAL SERVICES,Extraordinary or special revenue items ,Extraordinary or special expenditure items,Optional (supplementary) education contributions,TOTAL EXTRAORDINARY OR SPECIAL ITEMS,Water fund expenses,Water Fund Interest on long-term debt,"Water Fund Amortization, gain / loss, writedowns on capital assets",TOTAL WATER FUND,Electric fund expenses,Electric Fund Interest on long-term debt,"Electric Fund Amortization, gain / loss, writedowns on capital assets",TOTAL ELECTRIC FUND,TOTAL EXPENSES
Clare,Rural Municipality,2020-21,5020669,1420461,0,8248,1428709,431107,24991,456098,0,0,0,0,0,27745,0,0,27745,6933221,23379,172059,651734,-712931,134241,155268,4600,159868,-1808213,-118475,-41440,-1968128,5259202,20461,135563,6780,0,142343,162804,0,0,305776,305776,0,0,0,0,0,0,0,14163,0,74119,88282,91391,14919,300539,0,119203,66901,404824,997777,223087,5029,23492,0,0,0,251608,984755,335106,379034,0,1698895,0,0,0,8764344,36198,0,162138,1634,0,199970,745156,174223,257120,0,1176499,0,0,0,65183,1093535,2535187,1149376,0,294447,294447,31600,0,1303,236111,1712837,0,88126,0,0,25000,0,0,0,0,113126,189483,682046,40191,549646,589837,0,0,283284,37462,1782112,611764,34979,0,104924,0,751667,8473,85988,0,0,0,205960,300421,457509,52473,53377,16175,0,0,57593,292919,930046,0,0,0,0,0,0,0,0,0,0,0,0,8125396
Colchester,Rural Municipality,2020-21,19104363,6546608,0,76912,6623520,594401,83593,677994,0,452384,256778,0,709162,133149,0,0,133149,27248188,4491158,410945,5196204,-5196204,4902103,1744253,2211,1746464,-7859400,-463691,-131906,-8454997,25441758,128197,636533,1624,0,638157,766354,0,0,1568306,1568306,0,0,0,0,2840523,0,0,0,0,0,2840523,66978,0,139926,0,93607,458955,2291198,3050664,294415,21382,109383,0,612888,0,1038068,3684359,0,1604462,349527,5638348,0,800924,0,41144945,66865,0,484730,0,93030,644625,-975254,829673,689355,0,543774,0,0,0,140713,1678111,3007223,5099086,28672,577315,605987,9392,61518,71067,642041,6489091,0,1418483,449846,0,0,0,0,1220449,0,3088778,3563666,3638470,165675,2315506,2481181,80335,0,3223886,0,12987538,0,48688,0,0,0,48688,165847,1199340,57076,0,72692,198799,1693754,1753630,74420,235574,0,333778,0,1227573,984459,4609434,0,0,0,0,623565,0,384113,1007678,0,0,0,0,32932184
Cumberland,Rural Municipality,2020-21,15555621,3034532,0,94758,3129290,531095,99525,630620,0,6538,314247,4075,324860,97668,277374,10517,385559,20025950,1380634,1158134,207194,-207194,2538768,1529094,0,1529094,-4837560,-317625,-280052,-5435237,18658575,2193157,215804,13102,0,228906,2422063,0,0,44301,44301,0,0,0,0,1141913,20949094,0,0,0,0,22091007,45881,17688,150357,24993,66625,460914,247623,1014081,1548105,22136,129662,0,0,0,1699903,1154658,567483,973761,0,2695902,0,1486134,0,50111966,41002,1098,254818,7663,77332,381913,2098432,386405,558988,26955,3070780,318334,9391,13628,111389,1417523,5322958,4566473,97733,1231676,1329409,6003,0,319807,996859,7218551,1261049,534146,0,0,0,3586,0,315640,0,2114421,1061667,2386127,94168,797261,891429,255214,0,1314850,98688,6007975,0,407649,0,684926,19934851,21027426,244631,1727310,0,0,12410,16114,2000465,892500,191912,139240,0,0,0,268500,46786,1538938,0,0,0,0,1355768,47796,381575,1785139,0,0,0,0,47015873
Digby,Rural Municipality,2020-21,4949820,784128,43736,33430,861294,330080,22712,352792,2039,2091,17554,6363,28047,36494,200397,0,236891,6428844,91505,175591,462518,-454500,275114,338577,-15,338562,-1509765,-104600,-32267,-1646632,5395888,25702,126714,0,0,126714,152416,0,0,89714,89714,350,54400,0,66150,0,0,0,0,0,0,120900,16445,33316,0,0,60886,29665,377985,518297,333616,703189,15846,0,7951,0,1060602,0,100391,360649,0,461040,0,0,0,7798857,38647,2616,106641,2481,28464,178849,451541,89618,195787,18466,755412,2762,0,0,29505,418115,1384643,1418956,34772,458786,493558,0,0,9283,495675,2417472,108211,69551,77211,0,328053,0,0,132169,73966,789161,192294,1029506,0,0,0,13441,0,256615,0,1491856,0,0,0,0,0,0,34870,155192,10535,0,110943,208431,519971,405306,43651,48653,0,0,0,20929,67135,585674,0,0,0,0,0,0,0,0,0,0,0,0,7188777
East Hants,Rural Municipality,2020-21,14091476,3794735,32891,23188,3850814,450334,44786,495120,0,0,118317,0,118317,110069,81388,0,191457,18747184,6760592,1216667,0,0,7977259,2172194,6770,2178964,-5487396,-291481,-60755,-5839632,23063775,45443,138619,31530,0,170149,215592,0,0,0,0,548516,0,0,0,499655,0,20750,309693,0,0,1378614,170486,22701,103582,0,267443,107274,370547,1042033,0,2896,114958,0,118491,0,236345,1092472,982249,348994,0,2423715,0,2308191,0,30668265,74731,1256,285486,6243,129186,496902,3472649,749440,403893,209898,4835880,22882,155430,32887,309983,364591,6218555,3768674,0,2905475,2905475,29318,393,28931,399422,7132213,0,812145,0,0,0,169815,4137,1055188,0,2041285,859937,1998108,114,515082,515196,95027,3125,793583,427506,4692482,0,0,0,0,0,0,640544,61460,76594,4699,-775234,266288,274351,1108136,58401,141986,0,394929,19958,853046,912290,3488746,0,0,0,0,1648350,176012,481411,2305773,0,0,0,0,26153405
Guysborough,Rural Municipality,2020-21,2000497,1830694,0,260,1830954,281032,29944,310976,0,94388,13016,0,107404,37534,90893,0,128427,4378258,610072,86913,193602,-193602,696985,152999,0,152999,-1298008,-87107,-85102,-1470217,3758025,49881,201814,15374,8582,225770,275651,0,0,5363653,5363653,0,0,0,0,938877,5814890,0,41055,3451525,0,10246347,12322,6704,41015,0,19311,29356,446271,554979,84678,136281,79398,0,0,0,300357,177272,16555,2057748,0,2251575,0,388327,0,23138914,40914,2892,162980,11058,625,218469,1312006,78217,174370,72536,1637129,-61960,2744,0,161791,1296727,3254900,1304788,0,680881,680881,0,0,10404,173638,2169711,0,480079,0,0,0,0,0,148860,0,628939,168767,2735502,-638913,0,-638913,0,0,1603493,0,3868849,5321033,48675,0,-1319617,0,4050091,2236077,0,230984,0,1102950,0,3570011,0,16659,33754,0,0,0,621630,842892,1514935,0,0,0,0,255350,0,89231,344581,0,0,0,0,19402017
Inverness,Rural Municipality,2020-21,9012179,1932242,0,0,1932242,1678291,41256,1719547,0,0,89242,0,89242,109401,39866,0,149267,12902477,996435,102944,1057423,-1057521,1099281,868272,-571505,296767,-3377681,-212260,0,-3589941,10708584,108556,300369,0,16915,317284,425840,0,0,306032,306032,0,0,0,0,130681,17329831,0,-1795,0,79572,17538289,535,3509,29713,0,21176,100993,197447,353373,378055,24287,38930,0,3699,34535,479506,0,289957,481210,812914,1584081,0,956023,0,32351728,60016,5619,199858,34000,12988,312481,927526,345280,416545,161536,1850887,111444,0,15042,39968,441097,2770919,2625872,0,272782,272782,0,0,0,57180,2955834,704753,448821,9504,0,142088,0,0,183558,0,1488724,1163066,2160214,0,0,0,27459,0,788046,22684,4161469,14231510,1177387,0,1334349,0,16743246,209339,110637,0,0,2371,855179,1177526,272129,17115,94655,0,0,0,0,322570,706469,0,0,0,0,1018183,22678,328591,1369452,0,0,0,0,31373639
Kings,Rural Municipality,2020-21,27165500,8575700,0,22700,8598400,1238000,47400,1285400,11200,0,316800,0,328000,186200,0,0,186200,37563500,118400,4232100,4412200,-4412200,4350500,0,0,0,-12406200,-633700,-256800,-13296700,28617300,2752100,226000,0,0,226000,2978100,0,0,3508700,3508700,0,0,140300,0,2292500,320600,6500,0,0,1300,2761200,208200,76000,9000,0,462700,229700,1646500,2632100,0,694300,131100,0,0,0,825400,2960400,363400,37545300,20800,40889900,0,1120200,0,83332900,58800,900,371900,14100,294500,740200,3674100,760700,837000,34600,5306400,8300,8600,32000,378000,524400,6997900,7394200,0,2631600,2631600,0,0,13800,1065600,11105200,0,3913800,26100,0,1238100,500,0,515300,858000,6551800,2670800,8148500,0,53700,53700,105600,118000,1858400,621500,13576500,37179500,25900,0,467900,0,37673300,609300,1717100,0,0,15900,15800,2358100,106900,0,305300,0,0,0,72100,686700,1171000,-11300,1800,0,-9500,530000,5700,172400,708100,0,0,0,0,80132400
Lunenburg,Rural Municipality,2020-21,20488349,2572566,-32368,521,2540719,1042648,60478,1103126,0,0,51694,38976,90670,83529,26793,0,110322,24333186,437218,443537,3482292,-3437239,925808,2416957,0,2416957,-8401601,-431801,-29148,-8862550,18813401,39338,155526,0,9008,164534,203872,0,0,66308,66308,0,0,0,15799,0,0,0,48146,0,0,63945,112022,50520,151802,0,254789,115355,2569126,3253614,0,4555,52906,0,0,0,57461,1112740,810919,2376449,130859,4430967,0,0,0,26889568,59606,3415,307239,12683,26530,409473,1393445,175247,704451,61955,2335098,-154453,0,5386,18111,2250179,4863794,3389401,62978,329286,392264,0,0,0,582276,4363941,397944,2586332,0,0,0,0,0,291174,0,3275450,612498,2358416,0,24307,24307,7104,0,908430,408802,4319557,0,0,0,0,0,0,572945,0,52464,0,133532,751060,1510001,1432142,0,158314,0,0,0,625565,922191,3138212,0,0,0,0,0,0,0,0,0,0,0,0,21470955
Pictou,Rural Municipality,2020-21,11074391,3330687,18581,42610,3391878,732107,69503,801610,6522,2749,161043,151,170465,77583,699385,150996,927964,16366308,2729326,932836,0,0,3662162,834614,0,834614,-5142720,-306549,-150373,-5599642,15263442,11193,193368,56817,0,250185,261378,0,0,563,563,0,0,0,0,0,0,0,397,235965,0,236362,42162,19541,0,0,53810,212525,320981,649019,270601,11489,53487,0,0,0,335577,1045944,0,289271,0,1335215,0,413521,0,18495077,60382,9472,262188,59409,3391,394842,1284537,251129,507340,0,2043006,223267,0,0,121075,781728,3563918,3409354,690901,2179419,2870320,0,0,0,347529,6627203,0,377303,0,0,0,0,0,292980,0,670283,1124559,1408103,0,0,0,0,0,1237045,540,3770247,0,0,0,0,834614,834614,90979,40115,0,0,218694,241874,591662,264391,42921,195112,0,0,0,0,390642,893066,0,0,0,0,402047,0,42749,444796,0,0,0,0,17395789
Richmond,Rural Municipality,2020-21,5144629,2647562,0,6548,2654110,986735,13562,1000297,0,0,0,0,0,36124,162647,0,198771,8997807,670822,0,961604,-961604,670822,574128,-109625,464503,-2694550,-149394,-85803,-2929747,7203385,30554,110945,0,0,110945,141499,0,0,0,0,0,0,0,0,0,8657813,0,162395,0,0,8820208,31520,0,0,0,55696,293003,285393,665612,0,1846655,0,0,0,0,1846655,0,88284,1111361,0,1199645,0,681442,0,20558446,55630,2055,126417,6225,0,190327,2206301,1030587,277873,0,3514761,9242,0,5531,67398,148215,3935474,1416801,321000,46582,367582,6418,0,359,52496,1843656,0,538999,15000,0,0,6290,0,28365,0,588654,672040,383621,81726,631860,713586,33872,0,396854,79563,2279536,7060363,296981,0,528805,0,7886149,174079,343772,0,0,0,0,517851,598626,35052,61505,0,0,0,28173,0,723356,0,9829,0,9829,484965,0,141538,626503,0,0,0,0,18411008
Shelburne,Rural Municipality,2020-21,4153239,533164,0,733,533897,624557,12858,637415,0,0,2420,0,2420,26325,0,0,26325,5353296,47271,72296,0,0,119567,321259,0,321259,-1277171,-77821,-7469,-1362461,4431661,6237,218845,13440,12278,244563,250800,0,0,381530,381530,0,142348,0,0,184889,0,21189,19346,20434,4110,392316,2300,6299,62067,0,85675,33176,159725,349242,75128,9311,13682,0,0,0,98121,244311,151762,0,0,396073,0,0,0,6299743,28036,3089,106987,16994,4650,159756,1793945,89646,145418,0,2029009,5000,0,4236,58729,29233,2285963,733944,52518,426034,478552,0,0,0,325314,1537810,0,191416,0,0,10000,0,0,1806,0,203222,168138,1158746,0,0,0,0,0,169025,0,1495909,0,0,0,0,17633,17633,0,164796,1908,0,2080,0,168784,256306,0,29400,0,0,0,0,112839,398545,0,0,0,0,0,0,0,0,0,0,0,0,6107866
St. Mary's,Rural Municipality,2020-21,1288618,587168,0,28869,616037,210441,13846,224287,0,0,10175,0,10175,19044,0,0,19044,2158161,258383,83072,162126,-162036,341545,131588,0,131588,-578151,-42624,-9911,-630686,2000608,18034,143235,0,0,143235,161269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3922,6028,38686,0,6383,70832,42107,167958,170188,3353,14431,0,5000,0,192972,138770,132140,139717,14957,425584,0,152669,0,3101060,21341,1513,81174,4036,7459,115523,336976,41850,93358,0,472184,35848,12078,0,73341,173063,882037,492682,0,60427,60427,941,0,0,21510,575560,0,94805,0,0,0,0,0,0,0,94805,220295,417293,0,0,0,0,0,28695,0,666283,0,0,0,0,0,0,29361,54076,0,0,0,11188,94625,203877,10310,16927,0,0,0,75287,0,306401,0,0,0,0,130823,8882,29199,168904,0,0,0,0,2788615
Victoria,Rural Municipality,2020-21,6815041,1213194,0,0,1213194,1103338,13735,1117073,0,0,13687,0,13687,57458,0,0,57458,9216453,0,0,235939,-253505,-17566,305908,0,305908,-2391724,-133243,-36083,-2561050,6943745,249813,273338,0,15227,288565,538378,0,0,32650,32650,76062,0,0,0,620995,12324025,0,0,0,280980,13302062,1595,35911,1421,0,27806,119604,288837,475174,0,1407432,31001,22059,171629,0,1632121,63648,0,0,0,63648,0,607821,0,23595599,50382,1382,194252,6426,2829,255271,1164539,97699,224897,279377,1766512,0,26444,13993,18857,560388,2641465,1630984,357373,535993,893366,0,0,1415,230559,2756324,136452,265523,0,0,0,0,0,193883,0,595858,0,817284,0,1662857,1662857,0,0,39265,0,2519406,9827492,1037690,0,805746,0,11670928,0,114387,0,0,284,17865,132536,216253,27634,67885,0,0,0,0,0,311772,0,0,0,0,504565,0,109213,613778,0,0,0,0,21242067
Yarmouth,Rural Municipality,2020-21,7805618,810725,0,0,810725,455488,16364,471852,0,0,21496,0,21496,38171,13397,0,51568,9161259,756050,273411,324009,-324009,1029461,425295,0,425295,-2243075,-136997,-41730,-2421802,8194213,9227,27891,0,0,27891,37118,0,0,259552,259552,0,0,0,0,0,0,0,78782,51148,17102,147032,43843,20436,292253,647829,481957,151581,76320,1714219,129875,183017,25148,18645,296515,0,653200,0,882806,0,0,882806,0,0,0,11888140,61085,3045,147822,2666,0,214618,1137642,38894,213904,16094,1406534,0,101822,0,137868,268540,2129382,1046430,738970,0,738970,0,0,0,-262820,1522580,382370,283518,280850,0,0,7020,0,341524,1030895,2326177,356698,881186,0,0,0,0,0,318657,539636,2096177,118130,0,0,0,-16895,101235,75735,0,0,0,325100,850468,1251303,595563,0,65394,0,0,13075,302465,534913,1511410,0,0,0,0,0,0,0,0,0,0,0,0,10938264
CBRM,Regional Municipality,2019-20,73819220,30535968,0,0,30535968,1466302,0,1466302,0,0,0,0,0,479300,213322,0,692622,106514112,731460,735682,136653,-136653,1467142,2800453,0,2800453,-14478442,-1078199,-1939241,-17495882,93285825,4052131,2090238,151026,225090,2466354,6518485,0,447104,0,447104,2979247,0,1702668,0,2519106,0,0,1805914,0,26243,9033178,830136,252663,590693,320022,314914,1211199,4403254,7922881,15335838,2895922,487511,0,0,0,18719271,13340726,7383761,8790356,894764,30409607,0,20328976,0,186665327,143838,31989,588800,81629,637940,1484196,6532474,131270,1400386,0,8064130,489309,471802,118673,687297,7173022,18488429,26415545,0,12116378,12116378,174123,83293,1904351,825480,41519170,820223,23405423,0,0,5170009,632688,212352,7809943,2795215,40845853,2486250,11835534,0,2492200,2492200,104967,116095,3052821,60434,20148301,0,0,0,0,0,0,1145375,0,0,0,313247,0,1458622,9380650,404068,659902,0,103675,60242,1925238,38664,12572439,-122990,0,0,-122990,10548073,1385596,3645444,15579113,0,0,0,0,150488937
HRM,Regional Municipality,2019-20,259546630,234969182,0,0,234969182,1385173,129996,1515169,21856,0,0,0,21856,1846305,0,5201707,7048012,503100849,237093010,3746893,0,0,240839903,60181074,5078373,65259447,-143680061,-6730689,-3298449,-153709199,655491000,28767455,9203912,0,878633,10082545,38850000,0,0,0,0,5329833,8538969,40233609,134882,4208132,0,3074626,48019949,0,6339000,115879000,7553372,6561582,7184341,0,9608000,5073936,55962769,91944000,0,4136347,3622507,0,2933146,0,10692000,51879539,1149249,23746212,0,76775000,6143000,0,0,995774000,186043,16531,1421671,103191,1845183,3572619,80417891,9378428,7226762,0,97023081,-122436,2707456,0,19785632,8761648,131728000,129943173,7143748,80733574,87877322,235407,0,4681540,9760558,232498000,23445662,49364348,0,0,114655366,2520383,0,97404241,0,287390000,0,39498133,0,1675525,1675525,33743,0,2014599,0,43222000,0,0,0,0,0,0,16285732,0,26491,0,64895,15456882,31834000,37083573,2721536,27567000,14996000,1341870,0,20451182,59571839,163733000,0,0,0,0,0,0,0,0,0,0,0,0,890405000
Region of Queens,Regional Municipality,2019-20,7868827,1573219,0,268,1573487,816335,30494,846829,0,0,12104,0,12104,45796,23994,0,69790,10371037,1588578,545717,41537,-41537,2134295,440323,0,440323,-2884728,-178124,-105839,-3168691,9776964,59040,235563,28115,0,263678,322718,0,0,2057861,2057861,0,13250,0,0,817169,1379496,0,646451,0,7105,2863471,43716,27395,140079,0,120691,171122,423858,926861,1217234,839333,39133,0,0,0,2095700,1374867,0,107317,0,1482184,0,752480,0,20278239,41730,2249,146938,19583,3143,213643,1090948,72641,318408,82280,1564277,10823,0,0,-58356,433981,2164368,2090527,197235,774086,971321,0,0,28562,333101,3423511,1318825,1005687,8050,0,0,1943,0,437665,0,2772170,597476,1849133,324696,472179,796875,34418,0,724837,0,4002739,1397266,0,0,11656,3858,1412780,325040,617922,594,0,69630,0,1013186,1824707,162826,79302,0,70813,0,626452,0,2764100,0,0,0,0,588790,21054,99962,709806,0,0,0,0,18262660
Amherst,Town,2019-20,6501289,5585978,0,0,5585978,27804,1011,28815,0,0,0,0,0,48040,0,83326,131366,12247448,626898,1034544,0,0,1661442,228717,0,228717,-1599384,-112412,-248767,-1960563,12177044,114146,133356,28645,25193,187194,301340,0,0,192194,192194,0,143633,0,9049,11561,0,98,12205,0,1248706,1425252,29561,40002,264130,7971,157415,107478,148937,755494,1260382,9274,57887,0,0,0,1327543,1386805,900307,793158,0,3080270,0,1520768,0,20779905,41178,6741,159161,32114,16904,256098,957557,127802,117260,219795,1422414,49467,0,0,100652,559843,2388474,4063783,0,999828,999828,49704,0,229938,122090,5465343,60308,1373600,0,0,0,62006,0,985839,594827,3076580,643591,583358,0,997167,997167,145134,0,622679,18246,3010175,0,0,0,0,0,0,189375,184438,0,0,3243,69791,446847,1333597,70891,61820,0,58783,0,304112,191387,2020590,0,-196413,0,-196413,1345346,19905,341459,1706710,0,0,0,0,17918306
Annapolis Royal,Town,2019-20,785866,320811,0,0,320811,4053,0,4053,0,0,0,0,0,4802,0,0,4802,1115531,16883,0,0,0,16883,104878,4405,109283,-131508,-11358,-12055,-154921,1086776,32003,22387,0,0,22387,54390,0,0,0,0,0,0,0,0,48397,0,0,53495,0,2539,104431,5664,9863,13850,0,7255,10129,7515,54276,91956,371373,14845,3500,102869,203549,788092,106658,113898,0,2000,222556,0,371155,0,2681677,11101,3243,22016,3464,10692,50516,180018,18011,13078,26471,237578,0,0,801,35827,-1547,323176,347487,0,73000,73000,0,0,26332,43430,490249,101458,66811,0,0,5000,0,0,109458,27000,309727,100481,73870,0,0,0,3187,0,79369,0,256907,12055,2155,0,0,0,14210,134561,31000,0,0,8862,22905,197327,91501,1007,36383,0,0,0,86286,0,215177,0,0,131508,131508,259896,1792,50119,311807,0,0,0,0,2250087
Antigonish,Town,2019-20,3382164,1797789,0,0,1797789,6872,0,6872,0,0,289,0,289,30523,0,0,30523,5217637,464476,602792,0,0,1067268,335942,240311,576253,-1446812,-78609,-85683,-1611104,5250054,60858,1044488,0,3397,1047885,1108743,0,0,364814,364814,0,59489,0,52733,0,0,0,115363,6692084,0,6919669,5315,73279,5818,0,75035,36588,916081,1112116,176706,0,41152,0,13137,2500,233495,642230,0,0,0,642230,0,1337812,11463326,28432259,39898,1873,140281,4129,1888,188069,722664,0,77234,0,799898,0,19396,9752,146569,468953,1632637,1648961,0,201692,201692,16053,0,146499,168278,2181483,862954,456624,0,0,0,37905,0,613867,0,1971350,471451,466345,0,0,0,0,0,237025,0,1174821,0,0,0,0,0,0,69812,3797722,902622,0,1253830,739272,6763258,459494,40197,38821,0,21989,0,89277,0,649778,0,0,0,0,768315,55627,343099,1167041,10630915,0,222418,10853333,26393701
Berwick,Town,2019-20,1676393,1355498,0,0,1355498,12419,0,12419,0,0,1357,0,1357,12830,0,0,12830,3058497,0,471312,0,0,471312,81783,0,81783,-521316,-28588,-14493,-564397,3047195,6231,0,0,0,0,6231,0,0,174945,174945,0,0,0,0,60101,0,249,135385,2868036,0,3063771,6871,829,56562,0,1995,52510,406916,525683,221479,0,15580,1100,1000,0,239159,312675,11116,90223,443714,857728,0,0,5053332,12968044,21338,3265,61303,6500,39748,132154,597166,121128,31294,0,749588,66202,62678,12716,119663,144096,1287097,637218,0,244320,244320,32731,0,153588,65058,1132915,75064,705479,0,0,56593,5737,0,147447,0,990320,342741,234101,0,0,0,10410,0,191941,0,779193,0,0,0,0,0,0,27234,88926,386328,0,537356,1657780,2697624,573239,0,15400,0,8581,0,59950,0,657170,0,0,0,0,0,0,0,0,4753702,25335,305791,5084828,12629147
Bridgewater,Town,2019-20,8350731,6606030,0,0,6606030,40145,0,40145,0,0,245,0,245,47680,0,0,47680,15044831,414934,1534862,0,0,1949796,957835,0,957835,-2058812,-120941,-90676,-2270429,15682033,29489,687785,13144,37469,738398,767887,0,0,0,0,70564,241259,61348,254532,0,42026,4357,536627,0,0,1210713,40542,49543,0,0,193632,196000,296467,776184,531657,15796,65735,0,0,0,613188,803449,1384001,763871,275111,3226432,720518,0,0,22996955,39023,6068,128320,4511,21228,199150,975019,110655,123518,0,1209192,-243,4852,11128,343398,637691,2405168,4131540,502121,790449,1292570,22444,0,272632,252567,5971753,1137441,847518,0,0,220091,59496,0,1734175,0,3998721,1262228,902901,0,0,0,13778,0,716684,0,2895591,161497,217,0,19790,0,181504,498752,75151,0,0,48551,52344,674798,2112719,234775,50673,0,85556,0,633045,124042,3240810,0,0,0,0,0,0,0,0,0,0,0,0,19368345
Clark's Harbour,Town,2019-20,500626,427573,0,0,427573,16047,0,16047,0,0,0,0,0,4329,0,0,4329,948575,0,84900,0,0,84900,22444,0,22444,-117309,-6882,-35813,-160004,895915,29496,2056,0,0,2056,31552,0,0,2911,2911,0,0,0,0,0,0,0,0,0,0,0,400,2156,14934,0,4272,12140,32852,66754,189822,0,2889,0,0,0,192711,89640,17016,0,0,106656,0,0,0,1296499,18718,0,80862,710,0,100290,193557,500,12154,0,206211,-716,5987,1567,21532,13115,347986,161549,0,53076,53076,0,0,0,19538,234163,64562,31212,0,0,0,0,0,66781,0,162555,160487,170206,0,0,0,0,0,40539,0,371232,0,0,0,0,1660,1660,0,25660,0,0,14519,1316,41495,92970,31070,5272,0,770,0,31439,0,161521,0,0,0,0,0,0,0,0,0,0,0,0,1320612
Digby,Town,2019-20,1748651,958953,34558,0,993511,10671,0,10671,0,0,0,0,0,13591,0,17644,31235,2784068,311416,288465,0,0,599881,87476,0,87476,-368691,-26744,-75421,-470856,3000569,51989,116169,6739,156485,279393,331382,0,0,201484,201484,0,895,0,0,10726,0,2974,0,0,0,14595,8742,14605,22608,123,45364,46257,8022,145721,368558,0,13838,0,5901,0,388297,347810,40546,22000,3000,413356,0,661460,0,5156864,27239,5773,75789,9921,0,118722,401953,24226,27488,0,453667,0,100,0,15632,143035,731156,843370,0,165387,165387,256,707,109339,128880,1247939,369845,221557,0,0,4000,7256,4787,207500,0,814945,274678,317701,0,0,0,26966,0,183752,0,803097,0,0,0,0,0,0,17669,19795,0,0,5580,92444,135488,326696,20732,12703,0,2135,0,103007,0,465273,0,1,0,1,406677,611,165946,573234,0,0,0,0,4771133
